,movie,year,imdb,metascore,votes,genre
,The Dragon Prince,(2018– ),8.4,None,13187,Adventure
,Breathe,(2018– ),8.4,None,10507,Thriller
,Violet Evergarden,-2018,8.4,None,8442,Drama
,Bizim Için Sampiyon,-2018,8.4,None,7859,Drama
,Spider-Man: Into the Spider-Verse,-2018,8.4,87,316087,Adventure
,O Mecanismo,(2018– ),8.4,None,34929,Thriller
,The Dragon Prince,(2018– ),8.4,None,13187,Family
,Violet Evergarden,-2018,8.4,None,8442,Fantasy
,Bizim Için Sampiyon,-2018,8.4,None,7859,Romance
68,Killing Eve,(2018– ),8.3,None,69943,Action
76,Andhadhun,-2018,8.3,None,60550,Crime
130,Barry,(2018– ),8.3,None,37887,Action
158,Final Space,(2018– ),8.3,None,29246,Animation
186,They Shall Not Grow Old,(II) (2018),8.3,91,24933,Documentary
216,Tumbbad,-2018,8.3,None,20930,Drama
294,Who Is America?,-2018,8.3,None,14236,Comedy
,Killing Eve,(2018– ),8.3,None,69943,Adventure
,Andhadhun,-2018,8.3,None,60550,Thriller
,Barry,(2018– ),8.3,None,37887,Comedy
,Final Space,(2018– ),8.3,None,29246,Action
,They Shall Not Grow Old,(II) (2018),8.3,91,24933,History
,Tumbbad,-2018,8.3,None,20930,Fantasy
,Killing Eve,(2018– ),8.3,None,69943,Drama
,Barry,(2018– ),8.3,None,37887,Crime
,Final Space,(2018– ),8.3,None,29246,Adventure
,They Shall Not Grow Old,(II) (2018),8.3,91,24933,War
,Tumbbad,-2018,8.3,None,20930,Horror
8,Green Book,-2018,8.2,69,320326,Biography
77,Sharp Objects,(2018– ),8.2,None,60023,Crime
101,Free Solo,-2018,8.2,83,47769,Documentary
157,K.G.F: Chapter 1,-2018,8.2,None,29722,Action
214,Wild Wild Country,-2018,8.2,None,21096,Documentary
218,The Kominsky Method,(2018– ),8.2,None,20770,Comedy
344, Westworld,(2016– ),8.2,None,11281,Drama
431, Westworld,(2016– ),8.2,None,8244,Drama
435,Hannah Gadsby: Nanette,(2018 TV Special),8.2,None,8216,Documentary
,Green Book,-2018,8.2,69,320326,Comedy
,Sharp Objects,(2018– ),8.2,None,60023,Drama
,Free Solo,-2018,8.2,83,47769,Adventure
,K.G.F: Chapter 1,-2018,8.2,None,29722,Drama
,Wild Wild Country,-2018,8.2,None,21096,Crime
, Westworld,(2016– ),8.2,None,11281,Mystery
, Westworld,(2016– ),8.2,None,8244,Mystery
,Hannah Gadsby: Nanette,(2018 TV Special),8.2,None,8216,Comedy
,Green Book,-2018,8.2,69,320326,Drama
,Sharp Objects,(2018– ),8.2,None,60023,Mystery
,Free Solo,-2018,8.2,83,47769,Sport
, Westworld,(2016– ),8.2,None,11281,Sci-Fi
, Westworld,(2016– ),8.2,None,8244,Sci-Fi
31,Altered Carbon,(2018– ),8.1,None,131867,Action
60,Bodyguard,(2018– ),8.1,None,82763,Crime
62,Jack Ryan,(2018– ),8.1,None,79351,Action
204,A Discovery of Witches,(2018– ),8.1,None,22645,Drama
212,Patrick Melrose,-2018,8.1,None,21685,Drama
255,The Wild Pear Tree,-2018,8.1,86,17243,Drama
273,The Rookie,(2018– ),8.1,None,16052,Comedy
293,New Amsterdam,(2018– ),8.1,None,14278,Drama
388, Westworld,(2016– ),8.1,None,9539,Drama
397,Juzni vetar,-2018,8.1,None,9130,Crime
399,On My Block,(2018– ),8.1,None,9094,Comedy
486,Minding the Gap,-2018,8.1,90,6810,Documentary
488,Dirty Money,(2018– ),8.1,None,6764,Documentary
,Altered Carbon,(2018– ),8.1,None,131867,Drama
,Bodyguard,(2018– ),8.1,None,82763,Drama
,Jack Ryan,(2018– ),8.1,None,79351,Drama
,A Discovery of Witches,(2018– ),8.1,None,22645,Fantasy
,The Rookie,(2018– ),8.1,None,16052,Crime
, Westworld,(2016– ),8.1,None,9539,Mystery
,Juzni vetar,-2018,8.1,None,9130,Drama
,Dirty Money,(2018– ),8.1,None,6764,Crime
,Altered Carbon,(2018– ),8.1,None,131867,Sci-Fi
,Bodyguard,(2018– ),8.1,None,82763,Thriller
,Jack Ryan,(2018– ),8.1,None,79351,Thriller
,A Discovery of Witches,(2018– ),8.1,None,22645,Romance
,The Rookie,(2018– ),8.1,None,16052,Drama
, Westworld,(2016– ),8.1,None,9539,Sci-Fi
,Juzni vetar,-2018,8.1,None,9130,Thriller
3,Bohemian Rhapsody,-2018,8,49,422325,Biography
93,Shoplifters,-2018,8,93,51819,Crime
143,The Terror,(2018– ),8,None,33811,Adventure
188,Badhaai Ho,-2018,8,None,24746,Comedy
264,Escape at Dannemora,-2018,8,None,16599,Biography
297,Kidding,(2018– ),8,None,13871,Comedy
390,The Looming Tower,-2018,8,None,9351,Drama
407, Westworld,(2016– ),8,None,8851,Drama
,Bohemian Rhapsody,-2018,8,49,422325,Drama
,Shoplifters,-2018,8,93,51819,Drama
,The Terror,(2018– ),8,None,33811,Drama
,Badhaai Ho,-2018,8,None,24746,Drama
,Escape at Dannemora,-2018,8,None,16599,Crime
,Kidding,(2018– ),8,None,13871,Drama
,The Looming Tower,-2018,8,None,9351,History
, Westworld,(2016– ),8,None,8851,Mystery
,Bohemian Rhapsody,-2018,8,49,422325,Music
,The Terror,(2018– ),8,None,33811,History
,Escape at Dannemora,-2018,8,None,16599,Drama
, Westworld,(2016– ),8,None,8851,Sci-Fi
33,Isle of Dogs,-2018,7.9,82,127948,Animation
182,Good Girls,(2018– ),7.9,None,25514,Comedy
220,Dragon Ball Super: Broly,-2018,7.9,59,20572,Animation
236,Pad Man,-2018,7.9,None,18901,Comedy
309,The Game Changers,-2018,7.9,None,13228,Documentary
311,Waco,-2018,7.9,None,13209,Crime
316,Ricky Gervais: Humanity,(2018 TV Special),7.9,None,12801,Comedy
386, Westworld,(2016– ),7.9,None,9591,Drama
462,Active Measures,-2018,7.9,68,7291,Documentary
466,A Million Little Things,(2018– ),7.9,None,7180,Comedy
481,Goodachari,-2018,7.9,None,6860,Action
,Isle of Dogs,-2018,7.9,82,127948,Adventure
,Good Girls,(2018– ),7.9,None,25514,Crime
,Dragon Ball Super: Broly,-2018,7.9,59,20572,Action
,Pad Man,-2018,7.9,None,18901,Drama
,Waco,-2018,7.9,None,13209,Drama
, Westworld,(2016– ),7.9,None,9591,Mystery
,A Million Little Things,(2018– ),7.9,None,7180,Drama
,Goodachari,-2018,7.9,None,6860,Thriller
,Isle of Dogs,-2018,7.9,82,127948,Comedy
,Good Girls,(2018– ),7.9,None,25514,Drama
,Dragon Ball Super: Broly,-2018,7.9,59,20572,Adventure
,Waco,-2018,7.9,None,13209,History
, Westworld,(2016– ),7.9,None,9591,Sci-Fi
,A Million Little Things,(2018– ),7.9,None,7180,Mystery
37,You,(2018– ),7.8,None,122316,Crime
79,Maniac,-2018,7.8,None,59459,Comedy
81,Titans,(I) (2018– ),7.8,None,58712,Action
109,Sanju,-2018,7.8,None,44626,Biography
205,Raazi,-2018,7.8,None,22502,Action
300,Müslüm,-2018,7.8,None,13640,Biography
446,Condor,(2018– ),7.8,None,7806,Action
,You,(2018– ),7.8,None,122316,Drama
,Maniac,-2018,7.8,None,59459,Drama
,Titans,(I) (2018– ),7.8,None,58712,Adventure
,Sanju,-2018,7.8,None,44626,Drama
,Raazi,-2018,7.8,None,22502,Drama
,Müslüm,-2018,7.8,None,13640,Drama
,Condor,(2018– ),7.8,None,7806,Drama
,You,(2018– ),7.8,None,122316,Romance
,Maniac,-2018,7.8,None,59459,Sci-Fi
,Titans,(I) (2018– ),7.8,None,58712,Crime
,Raazi,-2018,7.8,None,22502,Thriller
,Müslüm,-2018,7.8,None,13640,Music
,Condor,(2018– ),7.8,None,7806,Thriller
2,Deadpool 2,-2018,7.7,66,449035,Action
10,A Star Is Born,-2018,7.7,88,307605,Drama
12,Mission: Impossible - Fallout,-2018,7.7,86,271292,Action
32,Roma,-2018,7.7,96,129826,Drama
144,The Alienist,-2018,7.7,None,33491,Drama
213,Three Identical Strangers,-2018,7.7,81,21523,Documentary
232,Parmanu: The Story of Pokhran,-2018,7.7,None,19536,Action
241,Ölümlü Dünya,-2018,7.7,None,18160,Action
244,9/1/2001,(2018– ),7.7,None,17991,Action
285,Bharath Ane Nenu,-2018,7.7,None,14809,Action
329,Never Look Away,-2018,7.7,68,12008,Biography
331,Seven Seconds,-2018,7.7,None,11965,Crime
338,McMafia,(2018– ),7.7,None,11695,Crime
384,Deadly Class,(2018–2019),7.7,None,9609,Action
408,A Very English Scandal,(2018–2021),7.7,None,8763,Biography
426,Geetha Govindam,-2018,7.7,None,8400,Drama
,Deadpool 2,-2018,7.7,66,449035,Adventure
,A Star Is Born,-2018,7.7,88,307605,Music
,Mission: Impossible - Fallout,-2018,7.7,86,271292,Adventure
,The Alienist,-2018,7.7,None,33491,Mystery
,Three Identical Strangers,-2018,7.7,81,21523,Biography
,Parmanu: The Story of Pokhran,-2018,7.7,None,19536,Drama
,Ölümlü Dünya,-2018,7.7,None,18160,Comedy
,9/1/2001,(2018– ),7.7,None,17991,Drama
,Bharath Ane Nenu,-2018,7.7,None,14809,Drama
,Never Look Away,-2018,7.7,68,12008,Drama
,Seven Seconds,-2018,7.7,None,11965,Drama
,McMafia,(2018– ),7.7,None,11695,Drama
,Deadly Class,(2018–2019),7.7,None,9609,Adventure
,A Very English Scandal,(2018–2021),7.7,None,8763,Comedy
,Geetha Govindam,-2018,7.7,None,8400,Romance
,Deadpool 2,-2018,7.7,66,449035,Comedy
,A Star Is Born,-2018,7.7,88,307605,Romance
,Mission: Impossible - Fallout,-2018,7.7,86,271292,Thriller
,Three Identical Strangers,-2018,7.7,81,21523,Drama
,Parmanu: The Story of Pokhran,-2018,7.7,None,19536,History
,9/1/2001,(2018– ),7.7,None,17991,Thriller
,Never Look Away,-2018,7.7,68,12008,Romance
,McMafia,(2018– ),7.7,None,11695,Thriller
,Deadly Class,(2018–2019),7.7,None,9609,Comedy
,A Very English Scandal,(2018–2021),7.7,None,8763,Crime
17,Incredibles 2,-2018,7.6,80,232796,Animation
24,The Favourite,-2018,7.6,91,157021,Biography
35,Searching,(III) (2018),7.6,71,124456,Drama
57,"Love, Simon",-2018,7.6,72,91234,Comedy
72,Chilling Adventures of Sabrina,(2018– ),7.6,None,65484,Drama
106,Hotel Mumbai,-2018,7.6,62,45627,Action
112,Cold War,-2018,7.6,90,43626,Drama
133,Elite,(2018– ),7.6,None,37300,Crime
142,Castle Rock,(2018– ),7.6,None,34291,Drama
