,movie,year,imdb,metascore,votes,genre
115,Can You Ever Forgive Me?,-2018,7.1,87,42564,Biography
116,The Christmas Chronicles,-2018,7.1,52,42370,Adventure
137,If Beale Street Could Talk,-2018,7.1,87,36888,Drama
240,Sonu Ke Titu Ki Sweety,-2018,7.1,None,18310,Comedy
315,Thunder Road,-2018,7.1,79,12861,Comedy
339,Dirty John,(2018– ),7.1,None,11564,Crime
346,Ghoul,(2018– ),7.1,None,11145,Drama
437,Blackmail,(I) (2018),7.1,None,8143,Comedy
,Ant-Man and the Wasp,-2018,7.1,70,286120,Adventure
,Ralph Breaks the Internet,-2018,7.1,71,118844,Adventure
,Bad Times at the El Royale,-2018,7.1,60,118284,Drama
,Sicario: Day of the Soldado,-2018,7.1,61,114531,Adventure
,Creed II,-2018,7.1,66,95937,Sport
,Climax,(I) (2018),7.1,67,42983,Horror
,Can You Ever Forgive Me?,-2018,7.1,87,42564,Comedy
,The Christmas Chronicles,-2018,7.1,52,42370,Comedy
,If Beale Street Could Talk,-2018,7.1,87,36888,Romance
,Sonu Ke Titu Ki Sweety,-2018,7.1,None,18310,Romance
,Thunder Road,-2018,7.1,79,12861,Drama
,Dirty John,(2018– ),7.1,None,11564,Drama
,Ghoul,(2018– ),7.1,None,11145,Fantasy
,Blackmail,(I) (2018),7.1,None,8143,Thriller
,Ant-Man and the Wasp,-2018,7.1,70,286120,Comedy
,Ralph Breaks the Internet,-2018,7.1,71,118844,Comedy
,Bad Times at the El Royale,-2018,7.1,60,118284,Mystery
,Sicario: Day of the Soldado,-2018,7.1,61,114531,Crime
,Climax,(I) (2018),7.1,67,42983,Music
,Can You Ever Forgive Me?,-2018,7.1,87,42564,Crime
,The Christmas Chronicles,-2018,7.1,52,42370,Family
,Ghoul,(2018– ),7.1,None,11145,Horror
6,Aquaman,-2018,7,55,336580,Action
55,The Mule,-2018,7,58,95854,Crime
59,Den of Thieves,-2018,7,49,83721,Action
100,Tully,-2018,7,75,48764,Comedy
102,The Sisters Brothers,-2018,7,78,47375,Crime
139,American Animals,-2018,7,68,35098,Documentary
148,Dragged Across Concrete,-2018,7,60,31678,Action
178,Padmaavat,-2018,7,63,25861,Drama
217,Border,-2018,7,75,20850,Crime
222,On the Basis of Sex,-2018,7,59,20490,Biography
239,The Night Comes for Us,-2018,7,69,18523,Action
340,Paradise PD,(2018– ),7,None,11550,Animation
364,Mirai,-2018,7,81,10549,Animation
370,Shadow,-2018,7,81,10336,Action
371,Siren,(2018– ),7,None,10313,Drama
381,Suicide Squad: Hell to Pay,(2018 Video),7,None,9673,Animation
440, Doctor Who,(2005– ),7,None,8077,Adventure
445,El Angel,-2018,7,61,7821,Biography
448,Then Came You,-2018,7,44,7805,Adventure
457,Sink or Swim,-2018,7,47,7477,Comedy
498,Jiang hu er nü,-2018,7,85,6595,Crime
,Aquaman,-2018,7,55,336580,Adventure
,The Mule,-2018,7,58,95854,Drama
,Den of Thieves,-2018,7,49,83721,Crime
,Tully,-2018,7,75,48764,Drama
,The Sisters Brothers,-2018,7,78,47375,Drama
,American Animals,-2018,7,68,35098,Biography
,Dragged Across Concrete,-2018,7,60,31678,Crime
,Padmaavat,-2018,7,63,25861,History
,Border,-2018,7,75,20850,Drama
,On the Basis of Sex,-2018,7,59,20490,Drama
,The Night Comes for Us,-2018,7,69,18523,Thriller
,Paradise PD,(2018– ),7,None,11550,Action
,Mirai,-2018,7,81,10549,Adventure
,Shadow,-2018,7,81,10336,Adventure
,Siren,(2018– ),7,None,10313,Fantasy
,Suicide Squad: Hell to Pay,(2018 Video),7,None,9673,Action
, Doctor Who,(2005– ),7,None,8077,Drama
,El Angel,-2018,7,61,7821,Crime
,Then Came You,-2018,7,44,7805,Comedy
,Sink or Swim,-2018,7,47,7477,Drama
,Jiang hu er nü,-2018,7,85,6595,Drama
,Aquaman,-2018,7,55,336580,Fantasy
,The Mule,-2018,7,58,95854,Thriller
,Den of Thieves,-2018,7,49,83721,Drama
,Tully,-2018,7,75,48764,Mystery
,The Sisters Brothers,-2018,7,78,47375,Western
,American Animals,-2018,7,68,35098,Crime
,Dragged Across Concrete,-2018,7,60,31678,Drama
,Padmaavat,-2018,7,63,25861,Romance
,Border,-2018,7,75,20850,Fantasy
,Paradise PD,(2018– ),7,None,11550,Comedy
,Mirai,-2018,7,81,10549,Drama
,Shadow,-2018,7,81,10336,Drama
,Suicide Squad: Hell to Pay,(2018 Video),7,None,9673,Fantasy
, Doctor Who,(2005– ),7,None,8077,Family
,El Angel,-2018,7,61,7821,Drama
,Then Came You,-2018,7,44,7805,Drama
,Sink or Swim,-2018,7,47,7477,Sport
,Jiang hu er nü,-2018,7,85,6595,Romance
13,Solo: A Star Wars Story,-2018,6.9,62,269456,Action
14,Annihilation,-2018,6.9,79,262922,Adventure
20,Game Night,(I) (2018),6.9,66,190134,Action
34,Crazy Rich Asians,-2018,6.9,74,124768,Comedy
61,Widows,-2018,6.9,84,79887,Crime
86,Outlaw King,-2018,6.9,59,54419,Action
87,Sorry to Bother You,-2018,6.9,80,54131,Comedy
161,The Protector,(2018– ),6.9,None,28881,Action
170,Boy Erased,-2018,6.9,69,27438,Biography
176,Everybody Knows,-2018,6.9,68,26009,Crime
191,At Eternity's Gate,-2018,6.9,76,24521,Biography
233,"Don't Worry, He Won't Get Far on Foot",-2018,6.9,67,19487,Biography
278,Fahrenheit 11/9,-2018,6.9,69,15663,Documentary
296,Mulk,(I) (2018),6.9,None,13886,Drama
298,Krypton,(2018–2019),6.9,None,13814,Action
400, Doctor Who,(2005– ),6.9,None,9064,Adventure
417,Hearts Beat Loud,-2018,6.9,65,8577,Comedy
491,The Resistance Banker,-2018,6.9,None,6714,Biography
497,Transit,(I) (2018),6.9,82,6597,Drama
,Solo: A Star Wars Story,-2018,6.9,62,269456,Adventure
,Annihilation,-2018,6.9,79,262922,Drama
,Game Night,(I) (2018),6.9,66,190134,Comedy
,Crazy Rich Asians,-2018,6.9,74,124768,Drama
,Widows,-2018,6.9,84,79887,Drama
,Outlaw King,-2018,6.9,59,54419,Biography
,Sorry to Bother You,-2018,6.9,80,54131,Fantasy
,The Protector,(2018– ),6.9,None,28881,Fantasy
,Boy Erased,-2018,6.9,69,27438,Drama
,Everybody Knows,-2018,6.9,68,26009,Drama
,At Eternity's Gate,-2018,6.9,76,24521,Drama
,"Don't Worry, He Won't Get Far on Foot",-2018,6.9,67,19487,Comedy
,Krypton,(2018–2019),6.9,None,13814,Adventure
, Doctor Who,(2005– ),6.9,None,9064,Drama
,Hearts Beat Loud,-2018,6.9,65,8577,Drama
,The Resistance Banker,-2018,6.9,None,6714,Drama
,Transit,(I) (2018),6.9,82,6597,Sci-Fi
,Solo: A Star Wars Story,-2018,6.9,62,269456,Sci-Fi
,Annihilation,-2018,6.9,79,262922,Horror
,Game Night,(I) (2018),6.9,66,190134,Crime
,Crazy Rich Asians,-2018,6.9,74,124768,Romance
,Widows,-2018,6.9,84,79887,Thriller
,Outlaw King,-2018,6.9,59,54419,Drama
,Sorry to Bother You,-2018,6.9,80,54131,Sci-Fi
,The Protector,(2018– ),6.9,None,28881,Sci-Fi
,Everybody Knows,-2018,6.9,68,26009,Mystery
,"Don't Worry, He Won't Get Far on Foot",-2018,6.9,67,19487,Drama
,Krypton,(2018–2019),6.9,None,13814,Drama
, Doctor Who,(2005– ),6.9,None,9064,Family
,Hearts Beat Loud,-2018,6.9,65,8577,Music
,The Resistance Banker,-2018,6.9,None,6714,War
36,Bumblebee,(I) (2018),6.8,66,124174,Action
42,A Simple Favor,-2018,6.8,67,112701,Comedy
88,Suspiria,(I) (2018),6.8,64,53630,Fantasy
96,The House That Jack Built,-2018,6.8,42,50993,Crime
131,Arctic,-2018,6.8,71,37625,Adventure
190,22-Jul,-2018,6.8,69,24672,Crime
223,Wildlife,-2018,6.8,80,20185,Drama
281,Teen Titans Go! To the Movies,-2018,6.8,69,15153,Animation
286,Life Itself,-2018,6.8,21,14635,Drama
325,A Futile and Stupid Gesture,-2018,6.8,55,12370,Biography
333,Sarkar,-2018,6.8,None,11901,Action
355,Nothing to Hide,-2018,6.8,None,10839,Comedy
406,Black '47,-2018,6.8,65,8853,Action
469, The Walking Dead,(2010– ),6.8,None,7128,Drama
,Bumblebee,(I) (2018),6.8,66,124174,Adventure
,A Simple Favor,-2018,6.8,67,112701,Crime
,Suspiria,(I) (2018),6.8,64,53630,Horror
,The House That Jack Built,-2018,6.8,42,50993,Drama
,Arctic,-2018,6.8,71,37625,Drama
,22-Jul,-2018,6.8,69,24672,Drama
,Teen Titans Go! To the Movies,-2018,6.8,69,15153,Action
,Life Itself,-2018,6.8,21,14635,Romance
,A Futile and Stupid Gesture,-2018,6.8,55,12370,Comedy
,Sarkar,-2018,6.8,None,11901,Drama
,Nothing to Hide,-2018,6.8,None,10839,Drama
,Black '47,-2018,6.8,65,8853,Drama
, The Walking Dead,(2010– ),6.8,None,7128,Horror
,Bumblebee,(I) (2018),6.8,66,124174,Sci-Fi
,A Simple Favor,-2018,6.8,67,112701,Drama
,Suspiria,(I) (2018),6.8,64,53630,Mystery
,The House That Jack Built,-2018,6.8,42,50993,Horror
,22-Jul,-2018,6.8,69,24672,History
,Teen Titans Go! To the Movies,-2018,6.8,69,15153,Adventure
, The Walking Dead,(2010– ),6.8,None,7128,Thriller
7,Venom,-2018,6.7,35,331375,Action
40,The Equalizer 2,-2018,6.7,50,118181,Action
65,Mamma Mia! Here We Go Again,-2018,6.7,60,71911,Comedy
67,Mary Poppins Returns,-2018,6.7,66,70816,Comedy
97,Alpha,-2018,6.7,63,49923,Action
136,The Old Man & the Gun,-2018,6.7,80,36961,Biography
160,Summer of 84,-2018,6.7,57,29134,Drama
235,Calibre,-2018,6.7,76,18995,Drama
238,The Professor,-2018,6.7,37,18772,Comedy
243,Freaks,-2018,6.7,63,18018,Drama
252,Colette,(I) (2018),6.7,74,17285,Biography
270,Ben Is Back,-2018,6.7,66,16183,Drama
275,Cloak & Dagger,(2018–2019),6.7,None,15846,Action
287,A Private War,-2018,6.7,75,14607,Biography
313,Forever My Girl,-2018,6.7,36,13165,Drama
326,Batman: Gotham by Gaslight,-2018,6.7,None,12323,Animation
336,The Kindergarten Teacher,-2018,6.7,75,11738,Drama
337,Collateral,-2018,6.7,None,11709,Crime
418,FBI,(2018– ),6.7,None,8526,Crime
458,Kaala,-2018,6.7,None,7400,Action
477,Astérix: Le secret de la potion magique,-2018,6.7,None,6952,Animation
,Venom,-2018,6.7,35,331375,Adventure
,The Equalizer 2,-2018,6.7,50,118181,Crime
,Mamma Mia! Here We Go Again,-2018,6.7,60,71911,Musical
,Mary Poppins Returns,-2018,6.7,66,70816,Family
,Alpha,-2018,6.7,63,49923,Adventure
,The Old Man & the Gun,-2018,6.7,80,36961,Comedy
,Summer of 84,-2018,6.7,57,29134,Horror
,Calibre,-2018,6.7,76,18995,Thriller
,The Professor,-2018,6.7,37,18772,Drama
,Freaks,-2018,6.7,63,18018,Mystery
,Colette,(I) (2018),6.7,74,17285,Drama
,Cloak & Dagger,(2018–2019),6.7,None,15846,Adventure
,A Private War,-2018,6.7,75,14607,Drama
,Forever My Girl,-2018,6.7,36,13165,Music
,Batman: Gotham by Gaslight,-2018,6.7,None,12323,Action
,Collateral,-2018,6.7,None,11709,Drama
,FBI,(2018– ),6.7,None,8526,Drama
,Kaala,-2018,6.7,None,7400,Drama
,Astérix: Le secret de la potion magique,-2018,6.7,None,6952,Adventure
,Venom,-2018,6.7,35,331375,Sci-Fi
,The Equalizer 2,-2018,6.7,50,118181,Thriller
,Mamma Mia! Here We Go Again,-2018,6.7,60,71911,Romance
,Mary Poppins Returns,-2018,6.7,66,70816,Fantasy
,Alpha,-2018,6.7,63,49923,Drama
,The Old Man & the Gun,-2018,6.7,80,36961,Crime
,Summer of 84,-2018,6.7,57,29134,Mystery
,Freaks,-2018,6.7,63,18018,Sci-Fi
,Colette,(I) (2018),6.7,74,17285,History
,Cloak & Dagger,(2018–2019),6.7,None,15846,Drama
,A Private War,-2018,6.7,75,14607,War
,Forever My Girl,-2018,6.7,36,13165,Romance
,Batman: Gotham by Gaslight,-2018,6.7,None,12323,Adventure
,Collateral,-2018,6.7,None,11709,Mystery
,FBI,(2018– ),6.7,None,8526,Mystery
,Astérix: Le secret de la potion magique,-2018,6.7,None,6952,Comedy
15,Bird Box,-2018,6.6,51,257572,Drama
19,Fantastic Beasts: The Crimes of Grindelwald,-2018,6.6,52,201758,Adventure
25,Red Sparrow,-2018,6.6,53,155393,Action
45,Halloween,(I) (2018),6.6,67,108565,Horror
64,Overlord,-2018,6.6,60,76329,Action
84,Mandy,(I) (2018),6.6,81,56511,Action
103,Hunter Killer,-2018,6.6,43,47186,Action
119,Adrift,(I) (2018),6.6,56,41652,Action
145,Peter Rabbit,-2018,6.6,51,32952,Adventure
156,Smallfoot,-2018,6.6,60,30439,Animation
166,Operation Finale,-2018,6.6,58,27900,Biography
180,Dumplin',-2018,6.6,53,25599,Comedy
219,Insatiable,(2018–2019),6.6,None,20644,Comedy
221,Midnight Sun,-2018,6.6,38,20524,Drama
257,The Miseducation of Cameron Post,-2018,6.6,69,16873,Drama
265,"Juliet, Naked",-2018,6.6,67,16522,Comedy
308,The Command,-2018,6.6,55,13323,Action
318,Next Gen,(I) (2018),6.6,None,12785,Animation
367,The Angel,-2018,6.6,None,10517,Drama
467,The ABC Murders,-2018,6.6,None,7179,Crime
471,T-34,-2018,6.6,None,7059,Action
489,"Paul, Apostle of Christ",-2018,6.6,52,6757,Adventure
,Bird Box,-2018,6.6,51,257572,Horror
,Fantastic Beasts: The Crimes of Grindelwald,-2018,6.6,52,201758,Family
,Red Sparrow,-2018,6.6,53,155393,Drama
,Halloween,(I) (2018),6.6,67,108565,Thriller
,Overlord,-2018,6.6,60,76329,Adventure
,Mandy,(I) (2018),6.6,81,56511,Fantasy
,Hunter Killer,-2018,6.6,43,47186,Adventure
,Adrift,(I) (2018),6.6,56,41652,Adventure
,Peter Rabbit,-2018,6.6,51,32952,Comedy
,Smallfoot,-2018,6.6,60,30439,Adventure
,Operation Finale,-2018,6.6,58,27900,Drama
,Dumplin',-2018,6.6,53,25599,Drama
,Insatiable,(2018–2019),6.6,None,20644,Drama
,Midnight Sun,-2018,6.6,38,20524,Romance
,"Juliet, Naked",-2018,6.6,67,16522,Drama
,The Command,-2018,6.6,55,13323,Adventure
,Next Gen,(I) (2018),6.6,None,12785,Action
,The Angel,-2018,6.6,None,10517,Thriller
,The ABC Murders,-2018,6.6,None,7179,Drama
,T-34,-2018,6.6,None,7059,War
,"Paul, Apostle of Christ",-2018,6.6,52,6757,Biography
,Bird Box,-2018,6.6,51,257572,Sci-Fi
,Fantastic Beasts: The Crimes of Grindelwald,-2018,6.6,52,201758,Fantasy
,Red Sparrow,-2018,6.6,53,155393,Thriller
,Overlord,-2018,6.6,60,76329,Horror
,Mandy,(I) (2018),6.6,81,56511,Horror
,Hunter Killer,-2018,6.6,43,47186,Thriller
,Adrift,(I) (2018),6.6,56,41652,Biography
,Peter Rabbit,-2018,6.6,51,32952,Family
,Smallfoot,-2018,6.6,60,30439,Comedy
,Operation Finale,-2018,6.6,58,27900,History
,Insatiable,(2018–2019),6.6,None,20644,Thriller
,"Juliet, Naked",-2018,6.6,67,16522,Music
,The Command,-2018,6.6,55,13323,Drama
,Next Gen,(I) (2018),6.6,None,12785,Adventure
,The ABC Murders,-2018,6.6,None,7179,Mystery
,"Paul, Apostle of Christ",-2018,6.6,52,6757,Drama
50,Tag,(I) (2018),6.5,56,103321,Comedy
75,12 Strong,-2018,6.5,54,61273,Action
91,Mowgli: Legend of the Jungle,-2018,6.5,51,52964,Adventure
104,Peppermint,-2018,6.5,29,46902,Action
128,Set It Up,-2018,6.5,62,38294,Comedy
165,Under the Silver Lake,-2018,6.5,60,28267,Crime
291,The Clovehitch Killer,-2018,6.5,59,14376,Crime
359,Lords of Chaos,-2018,6.5,48,10689,Biography
404,Lust Stories,-2018,6.5,None,8888,Drama
468,Behind the Curve,-2018,6.5,None,7171,Documentary
495,Station 19,(2018– ),6.5,None,6637,Action
,12 Strong,-2018,6.5,54,61273,Drama
,Mowgli: Legend of the Jungle,-2018,6.5,51,52964,Drama
,Peppermint,-2018,6.5,29,46902,Drama
,Set It Up,-2018,6.5,62,38294,Romance
,Under the Silver Lake,-2018,6.5,60,28267,Drama
,The Clovehitch Killer,-2018,6.5,59,14376,Drama
,Lords of Chaos,-2018,6.5,48,10689,Drama
,Lust Stories,-2018,6.5,None,8888,Romance
,Station 19,(2018– ),6.5,None,6637,Drama
,12 Strong,-2018,6.5,54,61273,History
,Mowgli: Legend of the Jungle,-2018,6.5,51,52964,Fantasy
,Peppermint,-2018,6.5,29,46902,Thriller
,Under the Silver Lake,-2018,6.5,60,28267,Mystery
,The Clovehitch Killer,-2018,6.5,59,14376,Mystery
,Lords of Chaos,-2018,6.5,48,10689,Horror
,Station 19,(2018– ),6.5,None,6637,Romance
80,Death Wish,-2018,6.4,31,58814,Action
125,When We First Met,-2018,6.4,36,39014,Comedy
135,Unsane,-2018,6.4,63,37025,Drama
200,White Boy Rick,-2018,6.4,59,22939,Crime
211,Incident in a Ghostland,-2018,6.4,44,21709,Drama
249,Beirut,-2018,6.4,69,17452,Action
260,Every Day,-2018,6.4,52,16726,Drama
263,Bad Samaritan,-2018,6.4,42,16628,Crime
303,The Man Who Killed Don Quixote,-2018,6.4,58,13529,Adventure
361,The Purge,(2018– ),6.4,None,10647,Action
385,Bleach,-2018,6.4,None,9604,Action
463,Irreplaceable You,-2018,6.4,34,7275,Comedy
464,Nappily Ever After,-2018,6.4,63,7226,Comedy
478,Ideal Home,-2018,6.4,62,6933,Comedy
,Death Wish,-2018,6.4,31,58814,Crime
,When We First Met,-2018,6.4,36,39014,Fantasy
,Unsane,-2018,6.4,63,37025,Horror
,White Boy Rick,-2018,6.4,59,22939,Drama
,Incident in a Ghostland,-2018,6.4,44,21709,Horror
,Beirut,-2018,6.4,69,17452,Drama
,Every Day,-2018,6.4,52,16726,Fantasy
,Bad Samaritan,-2018,6.4,42,16628,Horror
,The Man Who Killed Don Quixote,-2018,6.4,58,13529,Comedy
,The Purge,(2018– ),6.4,None,10647,Drama
,Bleach,-2018,6.4,None,9604,Adventure
,Irreplaceable You,-2018,6.4,34,7275,Drama
,Nappily Ever After,-2018,6.4,63,7226,Drama
,Ideal Home,-2018,6.4,62,6933,Drama
,Death Wish,-2018,6.4,31,58814,Drama
,When We First Met,-2018,6.4,36,39014,Romance
,Unsane,-2018,6.4,63,37025,Mystery
,Incident in a Ghostland,-2018,6.4,44,21709,Mystery
,Beirut,-2018,6.4,69,17452,Thriller
,Every Day,-2018,6.4,52,16726,Romance
,Bad Samaritan,-2018,6.4,42,16628,Thriller
,The Man Who Killed Don Quixote,-2018,6.4,58,13529,Drama
,The Purge,(2018– ),6.4,None,10647,Horror
,Bleach,-2018,6.4,None,9604,Fantasy
,Irreplaceable You,-2018,6.4,34,7275,Romance
,Nappily Ever After,-2018,6.4,63,7226,Romance
22,Tomb Raider,-2018,6.3,48,181568,Action
52,The Commuter,(I) (2018),6.3,56,97160,Action
94,Hotel Transylvania 3: Summer Vacation,-2018,6.3,54,51428,Animation
110,The Grinch,-2018,6.3,51,43786,Animation
129,Apostle,-2018,6.3,62,37993,Drama
138,Mary Queen of Scots,-2018,6.3,60,35112,Biography
183,The Rain,(2018– ),6.3,None,25243,Sci-Fi
227,2,-2018,6.3,None,19895,Action
237,The Outsider,(I) (2018),6.3,30,18805,Crime
306,Alex Strangelove,-2018,6.3,62,13436,Comedy
351,Je ne suis pas un homme facile,-2018,6.3,None,10896,Comedy
439,Gloria Bell,-2018,6.3,79,8085,Comedy
449,Red Joan,-2018,6.3,45,7751,Biography
,Tomb Raider,-2018,6.3,48,181568,Adventure
,The Commuter,(I) (2018),6.3,56,97160,Mystery
,Hotel Transylvania 3: Summer Vacation,-2018,6.3,54,51428,Adventure
,The Grinch,-2018,6.3,51,43786,Comedy
,Apostle,-2018,6.3,62,37993,Fantasy
,Mary Queen of Scots,-2018,6.3,60,35112,Drama
,The Rain,(2018– ),6.3,None,25243,Thriller
,2,-2018,6.3,None,19895,Sci-Fi
,The Outsider,(I) (2018),6.3,30,18805,Drama
,Alex Strangelove,-2018,6.3,62,13436,Drama
,Gloria Bell,-2018,6.3,79,8085,Drama
,Red Joan,-2018,6.3,45,7751,Drama
,Tomb Raider,-2018,6.3,48,181568,Fantasy
,The Commuter,(I) (2018),6.3,56,97160,Thriller
,Hotel Transylvania 3: Summer Vacation,-2018,6.3,54,51428,Comedy
,The Grinch,-2018,6.3,51,43786,Family
,Apostle,-2018,6.3,62,37993,Horror
,Mary Queen of Scots,-2018,6.3,60,35112,History
,The Outsider,(I) (2018),6.3,30,18805,Thriller
,Alex Strangelove,-2018,6.3,62,13436,Romance
,Gloria Bell,-2018,6.3,79,8085,Romance
,Red Joan,-2018,6.3,45,7751,History
16,Jurassic World: Fallen Kingdom,-2018,6.2,51,247420,Action
23,Ocean's 8,-2018,6.2,61,168999,Action
49,Maze Runner: The Death Cure,-2018,6.2,50,103733,Action
71,Blockers,-2018,6.2,69,66359,Comedy
83,Johnny English Strikes Again,-2018,6.2,39,57223,Action
206,Destroyer,-2018,6.2,62,22442,Action
262,Welcome to Marwen,-2018,6.2,40,16651,Biography
272,Prospect,-2018,6.2,68,16137,Drama
374,Galveston,-2018,6.2,57,10094,Action
380,The Hummingbird Project,-2018,6.2,58,9687,Drama
424,UFO,-2018,6.2,None,8421,Drama
432,The Quake,-2018,6.2,70,8240,Action
487,Accident Man,-2018,6.2,None,6800,Action
,Jurassic World: Fallen Kingdom,-2018,6.2,51,247420,Adventure
,Ocean's 8,-2018,6.2,61,168999,Comedy
,Maze Runner: The Death Cure,-2018,6.2,50,103733,Adventure
,Johnny English Strikes Again,-2018,6.2,39,57223,Adventure
,Destroyer,-2018,6.2,62,22442,Crime
,Welcome to Marwen,-2018,6.2,40,16651,Comedy
,Prospect,-2018,6.2,68,16137,Sci-Fi
,Galveston,-2018,6.2,57,10094,Crime
,The Hummingbird Project,-2018,6.2,58,9687,Thriller
,UFO,-2018,6.2,None,8421,Mystery
,The Quake,-2018,6.2,70,8240,Drama
,Accident Man,-2018,6.2,None,6800,Crime
,Jurassic World: Fallen Kingdom,-2018,6.2,51,247420,Sci-Fi
,Ocean's 8,-2018,6.2,61,168999,Crime
,Maze Runner: The Death Cure,-2018,6.2,50,103733,Sci-Fi
,Johnny English Strikes Again,-2018,6.2,39,57223,Comedy
,Destroyer,-2018,6.2,62,22442,Drama
,Welcome to Marwen,-2018,6.2,40,16651,Drama
,Prospect,-2018,6.2,68,16137,Thriller
,Galveston,-2018,6.2,57,10094,Drama
,UFO,-2018,6.2,None,8421,Sci-Fi
,The Quake,-2018,6.2,70,8240,Thriller
,Accident Man,-2018,6.2,None,6800,Thriller
30,Rampage,-2018,6.1,45,133082,Action
56,Mortal Engines,-2018,6.1,44,94191,Action
78,Mile 22,-2018,6.1,38,59884,Action
90,The Kissing Booth,-2018,6.1,None,52975,Comedy
127,Hotel Artemis,-2018,6.1,58,38760,Action
134,The Girl in the Spider's Web,-2018,6.1,43,37206,Action
141,Anon,(I) (2018),6.1,54,34367,Crime
154,The Perfection,-2018,6.1,60,30654,Drama
189,Gringo,-2018,6.1,46,24690,Action
199,Book Club,(I) (2018),6.1,53,23053,Comedy
230,Black Lightning,(2018– ),6.1,None,19561,Action
242,Early Man,-2018,6.1,68,18079,Animation
254,Like Father,-2018,6.1,52,17254,Comedy
377,The Front Runner,-2018,6.1,61,9921,Biography
415,Stockholm,(I) (2018),6.1,54,8592,Biography
485,Zoe,(I) (2018),6.1,39,6829,Romance
490,Teen Spirit,-2018,6.1,57,6746,Drama
,Rampage,-2018,6.1,45,133082,Adventure
,Mortal Engines,-2018,6.1,44,94191,Adventure
,Mile 22,-2018,6.1,38,59884,Thriller
,The Kissing Booth,-2018,6.1,None,52975,Romance
,Hotel Artemis,-2018,6.1,58,38760,Crime
,The Girl in the Spider's Web,-2018,6.1,43,37206,Crime
,Anon,(I) (2018),6.1,54,34367,Drama
,The Perfection,-2018,6.1,60,30654,Horror
,Gringo,-2018,6.1,46,24690,Comedy
,Book Club,(I) (2018),6.1,53,23053,Drama
,Black Lightning,(2018– ),6.1,None,19561,Drama
,Early Man,-2018,6.1,68,18079,Adventure
,Like Father,-2018,6.1,52,17254,Drama
,The Front Runner,-2018,6.1,61,9921,Drama
,Stockholm,(I) (2018),6.1,54,8592,Comedy
,Zoe,(I) (2018),6.1,39,6829,Sci-Fi
,Teen Spirit,-2018,6.1,57,6746,Music
,Rampage,-2018,6.1,45,133082,Sci-Fi
,Mortal Engines,-2018,6.1,44,94191,Fantasy
,Hotel Artemis,-2018,6.1,58,38760,Drama
,The Girl in the Spider's Web,-2018,6.1,43,37206,Drama
,Anon,(I) (2018),6.1,54,34367,Mystery
,The Perfection,-2018,6.1,60,30654,Thriller
,Gringo,-2018,6.1,46,24690,Crime
,Book Club,(I) (2018),6.1,53,23053,Romance
,Black Lightning,(2018– ),6.1,None,19561,Sci-Fi
,Early Man,-2018,6.1,68,18079,Comedy
,The Front Runner,-2018,6.1,61,9921,History
,Stockholm,(I) (2018),6.1,54,8592,Crime
74,The Spy Who Dumped Me,-2018,6,52,62677,Action
120,The House with a Clock in Its Walls,-2018,6,57,40880,Comedy
149,Overboard,-2018,6,42,31650,Comedy
184,Braven,-2018,6,61,25203,Action
203,Super Troopers 2,-2018,6,41,22702,Comedy
209,Destination Wedding,-2018,6,46,22117,Comedy
210,Greta,-2018,6,54,21850,Drama
245,The Princess Switch,-2018,6,None,17671,Romance
246,Traffik,-2018,6,37,17654,Action
317,Look Away,-2018,6,None,12789,Fantasy
423,The Night Eats the World,-2018,6,50,8438,Drama
442,Office Uprising,-2018,6,None,8007,Action
482, Doctor Who,(2005– ),6,None,6853,Adventure
,The Spy Who Dumped Me,-2018,6,52,62677,Adventure
,The House with a Clock in Its Walls,-2018,6,57,40880,Family
,Overboard,-2018,6,42,31650,Romance
,Braven,-2018,6,61,25203,Thriller
,Super Troopers 2,-2018,6,41,22702,Crime
,Destination Wedding,-2018,6,46,22117,Drama
,Greta,-2018,6,54,21850,Mystery
,Traffik,-2018,6,37,17654,Crime
,Look Away,-2018,6,None,12789,Horror
,The Night Eats the World,-2018,6,50,8438,Horror
,Office Uprising,-2018,6,None,8007,Comedy
, Doctor Who,(2005– ),6,None,6853,Drama
,The Spy Who Dumped Me,-2018,6,52,62677,Comedy
,The House with a Clock in Its Walls,-2018,6,57,40880,Fantasy
,Super Troopers 2,-2018,6,41,22702,Mystery
,Destination Wedding,-2018,6,46,22117,Romance
,Greta,-2018,6,54,21850,Thriller
,Traffik,-2018,6,37,17654,Drama
,Look Away,-2018,6,None,12789,Thriller
,The Night Eats the World,-2018,6,50,8438,Thriller
,Office Uprising,-2018,6,None,8007,Horror
, Doctor Who,(2005– ),6,None,6853,Family
201,Cam,-2018,5.9,71,22847,Horror
234,Unfriended: Dark Web,-2018,5.9,53,19434,Horror
282,Simmba,-2018,5.9,None,14931,Action
290,Vox Lux,-2018,5.9,67,14562,Drama
314,Assassination Nation,-2018,5.9,56,12893,Action
354,Nightflyers,-2018,5.9,None,10852,Horror
360,Night Hunter,-2018,5.9,31,10658,Action
494,The Isle,-2018,5.9,None,6671,Fantasy
,Cam,-2018,5.9,71,22847,Mystery
,Unfriended: Dark Web,-2018,5.9,53,19434,Mystery
,Simmba,-2018,5.9,None,14931,Comedy
,Vox Lux,-2018,5.9,67,14562,Music
,Assassination Nation,-2018,5.9,56,12893,Comedy
,Nightflyers,-2018,5.9,None,10852,Sci-Fi
